"","Region","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","PopularitySD","MeanDesignSD"
"1","Hisui",2.90065298507463,2.42444029850746,2.22154850746269,3.55923507462687,1.97807835820896,3.0839552238806,3.70708955223881,3.27751865671642,3.75233208955224,1.12665474065567,1.213675500436
"2","Johto",2.22074301247648,2.19676587439883,1.98543249459817,3.04767547222416,1.99128737715202,3.434376524709,3.25998466578379,3.21196068864571,3.69136404823308,1.10371607257298,1.19614550225426
"3","Alola",3.02546281670563,2.23687369684716,2.53983698742655,3.46831364124597,2.23763189486321,3.05686485120364,3.41738800783471,3.16686674669868,3.6281670562962,1.18681396936654,1.31587011048625
"4","Hoenn",2.63348126458343,2.35228988424761,2.3649174177609,3.29912613807933,2.14004666697168,2.97941163014137,3.37173445578076,3.00434643363682,3.61984718854372,1.12152857249045,1.2765723709937
"5","Kanto",2.3829489291598,2.55271828665568,1.97887149917628,3.05889621087315,2.02001647446458,2.86400329489292,3.39303953871499,2.91968698517298,3.59402800658979,1.1282528309807,1.26385798238177
"6","Sinnoh",2.75245198801903,2.24790039349269,2.38932284019498,3.32771480589652,2.15910025254008,3.04410641921654,3.29388618077172,3.0252540083397,3.55641040700065,1.17446670648403,1.27331306423697
"7","Kalos",2.87302113551596,2.29813510153336,2.21831744716121,3.28835474513054,2.09598010774969,3.23588893493576,3.26846249481973,3.24890178201409,3.54902610857853,1.1752824935485,1.26926003937703
"8","Unova",2.74324494156089,2.33953332495497,2.30685769343555,3.18357002220267,2.24887939340623,3.00766620585648,3.2357253571279,2.98399731892254,3.47890746093586,1.18512151423446,1.28932556522005
"9","Galar",3.13873826903024,2.17033368091762,2.47299270072993,3.57591240875912,2.31381647549531,2.82580813347237,3.3533889468196,2.87387904066736,3.42132429614181,1.24564472468244,1.287844841236
"10","Kitakami",3.23118644067797,1.75050847457627,2.68881355932203,3.94305084745763,2.89966101694915,3.41627118644068,3.12881355932203,3.09762711864407,3.39050847457627,1.24575676235176,1.18599450511132
"11","Paldea",2.94769034724435,2.12781140490602,2.64332589996814,3.47779547626633,2.09047467346289,2.94647977062759,3.22625039821599,2.89748327492832,3.36795157693533,1.28053229522254,1.32306830899172
