"","Region","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","PopularitySD","MeanDesignSD"
"1","Hisui",2.90478187919463,2.41862416107383,2.24370805369128,3.55704697986577,1.98615771812081,3.07088926174497,3.6883389261745,3.26803691275168,3.72986577181208,1.14179917284534,1.22063627832077
"2","Johto",2.22153923351941,2.19663802295678,1.9946057831023,3.04917518660227,1.99680110393276,3.428840243367,3.25867151728031,3.20767735056137,3.68136486232202,1.11005546650558,1.19699627451609
"3","Alola",3.02815539502872,2.24401342358228,2.5474091348615,3.46590068824299,2.23747227120187,3.05449064330812,3.41448154257437,3.16051419145669,3.61287753825152,1.19235865346206,1.31601635366685
"4","Hoenn",2.63117588932806,2.35560770750988,2.3754117259552,3.29627799736495,2.14332180500659,2.97533761528327,3.36808300395257,3.00094696969697,3.60836627140975,1.12780137185431,1.27796207943066
"5","Kanto",2.38321776854907,2.55307946160406,1.99199080425674,3.05743631576996,2.02910749378917,2.86881234009418,3.40116429975157,2.92610033742445,3.5938299529089,1.13523965728285,1.26595601050618
"6","Sinnoh",2.75483564105274,2.25081915230948,2.39816087094387,3.33025050206109,2.16351337067963,3.03614839868936,3.28955712926752,3.02209068808794,3.5439699820315,1.18145298154574,1.27550567709849
"7","Kalos",2.87082338902148,2.30474343675418,2.23075775656325,3.28840990453461,2.09994033412888,3.23776849642005,3.26566229116945,3.25186455847255,3.54005071599045,1.17991130579887,1.27078887100555
"8","Unova",2.74241110147441,2.3421697650741,2.31765903691693,3.18213356461405,2.24989630076549,3.00429880463064,3.22964666842641,2.98257852860213,3.46638259361213,1.19187167661858,1.29042557944882
"9","Galar",3.13737914202572,2.17774335867831,2.47718952407772,3.56697643856191,2.30817610062893,2.81836102506336,3.34638130104196,2.86928564723552,3.40514409086642,1.25322818312723,1.28847385127915
"10","Kitakami",3.25869432580842,1.75350823672971,2.72300183038438,3.95118974984747,2.90176937156803,3.40512507626602,3.12629652226968,3.09517998779744,3.37034777303234,1.26196504182578,1.18925238083054
"11","Paldea",2.95359109683341,2.13377696190913,2.65178981184029,3.47321018815971,2.08966268930702,2.93408673703534,3.20829508949059,2.88882514915099,3.34155575952272,1.28834880609119,1.32296071211194
