"","Type","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","PopularitySD","MeanDesignSD"
"1","Ghost",3.00371957629174,2.10123716341878,3.22568124848387,4.19948249373332,2.22923910406728,2.98973073502062,3.7266111425568,3.17821622058705,3.81086763160023,1.1286824636222,1.19509082114599
"2","Dragon",3.41740650122335,2.33331003145753,2.66319468717232,4.12240475358266,1.77930793428871,2.78315274379588,3.83565186997553,3.08584411045089,3.77182803215659,1.16488427709599,1.21192275646591
"3","Fire",2.95440189498618,2.417028556389,2.31168574812475,3.58895907356231,2.27003553099092,2.97091722595078,3.69634162389788,3.166140281616,3.6500197394394,1.18644399841226,1.24782140689946
"4","Ground",2.72786317384715,2.34062206826875,2.34459118135238,3.19694017464098,1.8918236270477,2.76813163022299,3.43797358735657,2.71581150321137,3.60864544995309,1.1773733483386,1.25278006725669
"5","Dark",3.09935108525397,2.417692250317,2.2074289550235,3.40672782874618,2.36473484000895,2.53651077795182,3.7590810770493,2.83784590139479,3.60557917505781,1.19083490288168,1.25758225518534
"6","Grass",2.6091715843056,2.14388035497094,1.89274291634758,3.40326140817154,2.26969683319068,3.33037524212802,3.15478174692554,3.18964818235056,3.59718906257039,1.15503985178633,1.22373709141736
"7","Flying",2.70084779975777,2.62595882115462,1.9170872022608,2.9814291481631,1.66794509487283,2.95513726281792,3.39210738796932,3.18046023415422,3.56767258780783,1.15141631947897,1.24086838215031
"8","Electric",2.65558469608146,2.06795742054921,2.7315643319963,3.38498920086393,1.95880900956495,3.17417463745757,3.41561246528849,3.03471150879358,3.56155507559395,1.16879484214972,1.25760863581814
"9","Fairy",2.84579846582985,1.93654114365411,2.59414225941423,3.96399930264993,2.78120641562064,3.64156206415621,3.05055788005579,3.53521617852162,3.55352161785216,1.20967514566529,1.2747080208543
"10","Poison",2.70359322033898,2.25254237288136,2.27416949152542,3.26752542372881,1.87783050847458,2.70047457627119,3.32772881355932,2.67064406779661,3.5424406779661,1.17830479023226,1.25549461683088
"11","Steel",3.35235334503013,2.39293615073614,3.72026851781219,3.82851476085132,2.12800366160653,2.48851933785949,3.57975436722862,2.84079639942025,3.51476085132352,1.23556255512211,1.25023237904177
"12","Water",2.61854070438799,2.34457996535797,1.88293879907621,2.91335883371824,1.88055715935335,3.0085522517321,3.18782476905312,2.95099595842956,3.49725750577367,1.18776649450516,1.24235468556534
"13","Rock",2.96425878449706,2.55466747096969,2.74543809380184,3.41366309757201,1.86729000150807,2.64160760066355,3.41901673955663,2.74875584376414,3.49509877846479,1.17060660239425,1.24309390668716
"14","Ice",2.80421313506815,2.25185873605948,2.54006608839323,3.56164807930607,2.03614209004544,3.01941346551012,3.2859355638166,3.00691862866584,3.4866790582404,1.22623133532952,1.28407253139495
"15","Bug",2.76551094890511,2.45920229405631,2.02437434827946,2.8626173096976,1.7877346193952,2.90817257559958,3.15667361835245,2.86555005213764,3.47947080291971,1.19826553110611,1.24031105982721
"16","Psychic",2.97902684563758,2.14242005527043,2.89360442163443,3.94300236873273,2.76371891038294,2.95583300434268,3.2749210422424,3.10733320173707,3.47137781287011,1.20691436253658,1.2766026704389
"17","Fighting",3.09141646061462,2.34150476863299,2.20551042034617,3.36100317908866,3.50992582126457,2.61384669728011,3.627975980219,2.87870010596962,3.44655598728365,1.21343939031391,1.20678832286367
"18","Normal",2.2990095007075,2.4523549626036,1.80509399636143,2.48255508388923,1.93895290074793,3.31813220133414,2.95957145744896,3.13252476248231,3.39951485748939,1.17211027536074,1.23694183783488
