# Dex, Pokemon (name), User ID, Timestamp, complexity, realism, artificiality, fantasy, humanoid, cuteness, coolness, beauty, popularity
1,Bulbasaur,34,1677454020,2,2,1,4,1,4,1,3,2
1,Bulbasaur,748,1679155719,2,1,1,5,1,5,4,4,5
1,Bulbasaur,762,1679082304,2,2,1,3,1,4,4,4,5
1,Bulbasaur,786,1684053648,2,2,1,3,1,5,4,3,4
1,Bulbasaur,796,1679088473,2,2,1,5,1,5,4,3,5
1,Bulbasaur,854,1679088565,2,1,2,4,2,4,3,3,4
1,Bulbasaur,871,1679423929,3,3,1,3,1,5,3,3,5
1,Bulbasaur,924,1679098106,1,1,3,4,1,3,2,3,3
1,Bulbasaur,950,1679347206,2,1,1,4,1,5,3,4,5
1,Bulbasaur,1021,1679116529,2,1,1,4,1,4,4,4,4
1,Bulbasaur,1057,1692695191,2,3,2,4,1,5,4,3,5
1,Bulbasaur,1067,1679176996,3,3,1,3,1,4,3,3,3
1,Bulbasaur,1073,1679133613,2,2,1,4,1,4,3,3,4
1,Bulbasaur,1130,1679362378,3,1,1,5,1,4,4,3,4
1,Bulbasaur,1149,1679148243,2,2,1,2,1,5,4,4,5
1,Bulbasaur,1193,1679259346,2,3,1,4,1,4,4,3,5
1,Bulbasaur,1213,1679161142,1,2,1,3,1,5,5,4,5
1,Bulbasaur,1248,1679237702,3,2,1,4,1,4,4,3,4
1,Bulbasaur,1345,1679779575,3,2,2,2,2,4,4,4,4
1,Bulbasaur,1397,1679171835,3,2,1,3,1,4,3,4,5
1,Bulbasaur,1585,1679180366,2,3,1,5,1,4,3,3,3
1,Bulbasaur,1651,1679226364,4,2,2,4,1,4,4,2,4
1,Bulbasaur,1900,1679188513,2,2,1,1,1,5,4,5,5
1,Bulbasaur,1945,1679199029,2,3,1,3,1,4,4,4,4
1,Bulbasaur,1964,1679193743,5,5,5,3,5,1,1,1,1
1,Bulbasaur,2141,1679205264,2,2,2,3,1,5,4,4,5
1,Bulbasaur,2223,1679211827,2,1,1,5,1,5,5,3,5
1,Bulbasaur,2361,1679222148,2,2,1,4,1,4,4,4,5
1,Bulbasaur,2445,1679237143,1,2,1,5,1,5,4,4,5
1,Bulbasaur,2513,1679232732,2,3,1,3,1,5,3,3,4
1,Bulbasaur,2530,1679438723,3,2,1,4,1,5,5,4,5
