"","DexNum","PokemonName","UserID","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","Generation","Region"
"1",1,"Bulbasaur","34",2,2,1,4,1,4,1,3,2,"1","Kanto"
"2",1,"Bulbasaur","748",2,1,1,5,1,5,4,4,5,"1","Kanto"
"3",1,"Bulbasaur","762",2,2,1,3,1,4,4,4,5,"1","Kanto"
"4",1,"Bulbasaur","786",2,2,1,3,1,5,4,3,4,"1","Kanto"
"5",1,"Bulbasaur","796",2,2,1,5,1,5,4,3,5,"1","Kanto"
"6",1,"Bulbasaur","854",2,1,2,4,2,4,3,3,4,"1","Kanto"
"7",1,"Bulbasaur","871",3,3,1,3,1,5,3,3,5,"1","Kanto"
"8",1,"Bulbasaur","924",1,1,3,4,1,3,2,3,3,"1","Kanto"
"9",1,"Bulbasaur","950",2,1,1,4,1,5,3,4,5,"1","Kanto"
"10",1,"Bulbasaur","1021",2,1,1,4,1,4,4,4,4,"1","Kanto"
"11",1,"Bulbasaur","1067",3,3,1,3,1,4,3,3,3,"1","Kanto"
"12",1,"Bulbasaur","1073",2,2,1,4,1,4,3,3,4,"1","Kanto"
"13",1,"Bulbasaur","1130",3,1,1,5,1,4,4,3,4,"1","Kanto"
"14",1,"Bulbasaur","1149",2,2,1,2,1,5,4,4,5,"1","Kanto"
"15",1,"Bulbasaur","1193",2,3,1,4,1,4,4,3,5,"1","Kanto"
"16",1,"Bulbasaur","1213",1,2,1,3,1,5,5,4,5,"1","Kanto"
"17",1,"Bulbasaur","1248",3,2,1,4,1,4,4,3,4,"1","Kanto"
"18",1,"Bulbasaur","1345",3,2,2,2,2,4,4,4,4,"1","Kanto"
"19",1,"Bulbasaur","1397",3,2,1,3,1,4,3,4,5,"1","Kanto"
"20",1,"Bulbasaur","1585",2,3,1,5,1,4,3,3,3,"1","Kanto"
"21",1,"Bulbasaur","1651",4,2,2,4,1,4,4,2,4,"1","Kanto"
"22",1,"Bulbasaur","1900",2,2,1,1,1,5,4,5,5,"1","Kanto"
"23",1,"Bulbasaur","1945",2,3,1,3,1,4,4,4,4,"1","Kanto"
"24",1,"Bulbasaur","1964",5,5,5,3,5,1,1,1,1,"1","Kanto"
"25",1,"Bulbasaur","2141",2,2,2,3,1,5,4,4,5,"1","Kanto"
"26",1,"Bulbasaur","2223",2,1,1,5,1,5,5,3,5,"1","Kanto"
"27",1,"Bulbasaur","2361",2,2,1,4,1,4,4,4,5,"1","Kanto"
"28",1,"Bulbasaur","2445",1,2,1,5,1,5,4,4,5,"1","Kanto"
"29",1,"Bulbasaur","2513",2,3,1,3,1,5,3,3,4,"1","Kanto"
"30",1,"Bulbasaur","2530",3,2,1,4,1,5,5,4,5,"1","Kanto"
"31",1,"Bulbasaur","2614",1,1,1,1,1,5,4,3,5,"1","Kanto"
"32",1,"Bulbasaur","2794",3,1,1,4,1,4,3,3,3,"1","Kanto"
"33",1,"Bulbasaur","3001",1,1,1,4,1,5,4,4,4,"1","Kanto"
"34",1,"Bulbasaur","3004",3,1,1,5,1,4,4,3,5,"1","Kanto"
"35",1,"Bulbasaur","3006",3,2,2,4,1,4,4,3,5,"1","Kanto"
"36",1,"Bulbasaur","3199",2,3,1,3,1,5,5,4,5,"1","Kanto"
"37",1,"Bulbasaur","3202",3,2,1,4,1,5,4,3,5,"1","Kanto"
"38",1,"Bulbasaur","3326",2,2,2,4,1,5,4,3,5,"1","Kanto"
"39",1,"Bulbasaur","3937",2,2,1,2,1,5,4,5,5,"1","Kanto"
"40",1,"Bulbasaur","3982",2,3,1,3,1,5,4,4,4,"1","Kanto"
"41",1,"Bulbasaur","4224",3,3,1,4,1,4,3,3,4,"1","Kanto"
"42",1,"Bulbasaur","4953",2,1,1,3,2,5,3,3,4,"1","Kanto"
"43",1,"Bulbasaur","5025",1,1,1,3,1,5,4,3,4,"1","Kanto"
"44",1,"Bulbasaur","5044",2,3,1,3,1,5,4,3,4,"1","Kanto"
"45",1,"Bulbasaur","5125",2,3,2,2,1,5,4,4,5,"1","Kanto"
"46",1,"Bulbasaur","5535",1,1,1,4,1,5,4,3,4,"1","Kanto"
"47",1,"Bulbasaur","7265",1,2,1,3,1,5,4,4,5,"1","Kanto"
"48",1,"Bulbasaur","8036",2,4,1,4,1,4,4,4,4,"1","Kanto"
"49",1,"Bulbasaur","8720",2,2,1,4,1,5,5,4,5,"1","Kanto"
"50",1,"Bulbasaur","10142",1,4,4,5,1,4,5,4,5,"1","Kanto"
"51",1,"Bulbasaur","11822",2,1,2,5,1,4,3,2,4,"1","Kanto"
"52",1,"Bulbasaur","11827",2,2,1,3,1,5,5,5,5,"1","Kanto"
"53",2,"Ivysaur","43",4,2,1,4,1,3,3,4,5,"1","Kanto"
"54",2,"Ivysaur","748",2,4,1,5,1,5,5,5,5,"1","Kanto"
"55",2,"Ivysaur","762",2,1,1,3,1,3,5,2,5,"1","Kanto"
"56",2,"Ivysaur","763",2,4,1,4,1,4,4,4,5,"1","Kanto"
"57",2,"Ivysaur","783",4,4,1,4,1,3,4,3,3,"1","Kanto"
"58",2,"Ivysaur","786",2,4,1,4,1,3,4,3,4,"1","Kanto"
"59",2,"Ivysaur","843",2,3,2,3,1,4,4,3,5,"1","Kanto"
"60",2,"Ivysaur","855",2,4,2,4,1,4,4,3,4,"1","Kanto"
"61",2,"Ivysaur","933",3,2,1,3,1,2,4,2,4,"1","Kanto"
"62",2,"Ivysaur","969",2,2,2,4,1,4,5,3,5,"1","Kanto"
"63",2,"Ivysaur","1027",2,3,1,3,1,3,4,4,5,"1","Kanto"
"64",2,"Ivysaur","1067",3,3,1,5,1,4,4,3,3,"1","Kanto"
"65",2,"Ivysaur","1085",1,4,2,5,1,4,1,3,2,"1","Kanto"
"66",2,"Ivysaur","1130",4,3,1,4,1,4,4,3,4,"1","Kanto"
"67",2,"Ivysaur","1169",3,2,1,4,1,3,3,3,3,"1","Kanto"
"68",2,"Ivysaur","1213",3,4,1,4,1,4,5,4,5,"1","Kanto"
"69",2,"Ivysaur","1279",3,2,1,3,1,3,4,2,3,"1","Kanto"
"70",2,"Ivysaur","1613",2,2,5,3,2,3,3,3,3,"1","Kanto"
"71",2,"Ivysaur","1697",4,3,1,4,1,3,5,3,5,"1","Kanto"
"72",2,"Ivysaur","1751",4,2,3,3,1,4,4,5,5,"1","Kanto"
"73",2,"Ivysaur","1922",4,4,1,2,1,2,4,2,4,"1","Kanto"
"74",2,"Ivysaur","1964",5,3,3,3,5,1,1,1,1,"1","Kanto"
"75",2,"Ivysaur","1980",4,3,1,4,1,4,4,2,4,"1","Kanto"
"76",2,"Ivysaur","1991",3,4,2,2,1,2,4,4,4,"1","Kanto"
"77",2,"Ivysaur","2223",3,3,1,5,1,5,5,5,5,"1","Kanto"
"78",2,"Ivysaur","2325",3,3,2,4,1,3,4,4,5,"1","Kanto"
"79",2,"Ivysaur","2418",4,1,1,4,1,4,5,2,5,"1","Kanto"
"80",2,"Ivysaur","2530",4,4,1,4,1,5,5,2,5,"1","Kanto"
"81",2,"Ivysaur","2532",4,2,2,4,1,4,4,4,5,"1","Kanto"
"82",2,"Ivysaur","2656",3,2,2,5,1,4,5,3,5,"1","Kanto"
"83",2,"Ivysaur","2705",2,2,1,1,1,5,5,5,5,"1","Kanto"
"84",2,"Ivysaur","2794",3,1,1,4,1,4,4,2,4,"1","Kanto"
"85",2,"Ivysaur","2991",4,4,1,2,1,2,4,2,5,"1","Kanto"
"86",2,"Ivysaur","3002",2,4,1,2,1,5,5,5,5,"1","Kanto"
"87",2,"Ivysaur","3003",2,2,1,3,1,4,4,4,4,"1","Kanto"
"88",2,"Ivysaur","3165",2,2,1,3,1,2,3,3,4,"1","Kanto"
"89",2,"Ivysaur","3280",3,2,1,4,1,4,4,3,4,"1","Kanto"
"90",2,"Ivysaur","3409",3,3,1,3,1,4,5,4,5,"1","Kanto"
"91",2,"Ivysaur","3523",4,3,1,4,1,4,4,4,4,"1","Kanto"
"92",2,"Ivysaur","3593",3,3,1,3,1,2,3,4,3,"1","Kanto"
"93",2,"Ivysaur","3790",2,2,1,3,2,4,3,3,3,"1","Kanto"
"94",2,"Ivysaur","4224",3,3,1,4,1,4,4,2,4,"1","Kanto"
"95",2,"Ivysaur","4948",3,2,1,4,1,4,4,4,4,"1","Kanto"
"96",2,"Ivysaur","4979",2,2,1,4,1,5,4,5,5,"1","Kanto"
"97",2,"Ivysaur","4999",3,4,1,3,1,4,4,3,3,"1","Kanto"
"98",2,"Ivysaur","5103",3,3,2,4,1,3,4,3,4,"1","Kanto"
"99",2,"Ivysaur","6439",3,3,3,3,3,3,3,3,3,"1","Kanto"
