# dex,pokemon,pokeapi name,complexity,realism,artificiality,fantasy,humanoid,cuteness,coolness,beauty,popularity,rating count
1,Bulbasaur,bulbasaur,2.1455,2.0545,1.3455,3.5818,1.1455,4.4909,3.7455,3.4182,4.3818,55
2,Ivysaur,ivysaur,2.9636,2.8000,1.4727,3.5818,1.1636,3.5636,4.0000,3.3091,4.2364,55
3,Gigantamax Venusaur,venusaur-gmax,4.2545,2.2364,1.6000,4.4364,1.1818,1.8545,3.9273,2.1091,3.7091,55
3,Mega Venusaur,venusaur-mega,4.4364,2.7818,1.5273,4.3455,1.0909,2.3636,4.1818,3.0727,4.0364,55
3,standard Venusaur,venusaur,3.6364,3.6182,1.4909,3.8000,1.1455,2.4000,4.1455,2.3273,4.3273,55
4,Charmander,charmander,1.7636,2.3818,1.4000,3.5091,2.3818,4.2909,3.6727,3.4909,3.8727,55
5,Charmeleon,charmeleon,1.9273,2.8545,1.6182,3.6000,2.7455,2.5273,4.0000,2.9091,3.6909,55
6,Gigantamax Charizard,charizard-gmax,4.2222,2.7037,1.9259,4.6667,1.9259,1.5000,4.0556,2.7963,3.0556,54
6,Mega Charizard X,charizard-mega-x,3.8909,2.7455,1.9455,4.7091,2.4727,2.0364,4.4182,3.3273,3.9273,55
6,Mega Charizard Y,charizard-mega-y,3.6727,2.8000,1.7273,4.4182,2.2000,2.2000,4.3636,3.4909,3.7455,55
6,standard Charizard,charizard,2.6364,2.6909,1.5636,4.3091,2.2909,2.2545,4.2000,3.2545,3.9636,55
7,Squirtle,squirtle,1.7778,2.6667,1.2963,2.2037,2.1481,4.4815,3.6852,3.5556,4.0370,54
8,Wartortle,wartortle,2.4630,2.3704,1.6852,3.0556,2.5741,3.4444,3.8148,3.2963,3.9259,54
9,Gigantamax Blastoise,blastoise-gmax,4.5370,2.5370,3.7222,4.2037,2.4074,1.7963,4.1667,2.8704,3.6111,54
9,Mega Blastoise,blastoise-mega,3.8182,2.1455,3.3091,4.0000,2.3818,2.0000,4.0909,2.7818,3.5455,55
9,standard Blastoise,blastoise,2.9818,3.0727,2.5455,3.2545,2.4727,2.2545,4.2545,2.8545,4.0182,55
10,Caterpie,caterpie,2.0909,3.3636,1.1818,1.3818,1.1273,3.9636,2.4364,3.0364,3.7091,55
11,Metapod,metapod,1.7455,3.0000,1.4182,1.4909,1.1636,2.4727,2.3273,2.3636,3.2182,55
12,Gigantamax Butterfree,butterfree-gmax,3.3273,2.4545,1.5273,3.7455,1.3273,4.1091,3.6545,4.4364,3.9455,55
12,standard Butterfree,butterfree,1.9636,2.6182,1.1818,1.8909,1.7636,4.0182,2.9273,3.6909,3.7455,55
13,Weedle,weedle,1.5818,2.2545,1.2364,1.7091,1.1091,3.5273,2.2727,2.5636,3.2000,55
14,Kakuna,kakuna,2.1455,3.5455,1.2909,1.5455,1.2000,2.0000,2.4727,2.5091,3.0364,55
15,Mega Beedrill,beedrill-mega,4.1455,2.8364,2.7091,3.6182,1.3818,1.6909,4.5273,3.0364,4.0545,55
15,standard Beedrill,beedrill,2.7407,2.9074,1.5741,2.5370,2.2222,2.0370,4.0185,2.8519,3.6296,54
16,Pidgey,pidgey,1.7455,3.9091,1.1636,1.2182,1.1091,3.2000,2.6364,2.9818,3.2909,55
17,Pidgeotto,pidgeotto,2.3636,3.6182,1.3636,1.6727,1.2909,2.5273,3.5273,3.3455,3.4000,55
18,Mega Pidgeot,pidgeot-mega,3.5091,3.2000,1.3818,2.7273,1.2545,2.4727,4.0727,3.6182,3.6909,55
18,standard Pidgeot,pidgeot,2.2593,3.9444,1.1111,1.5926,1.1111,2.6296,3.9074,3.5556,3.5741,54
19,Alolan Rattata,rattata-alola,1.7091,2.7818,1.1818,1.6182,1.2364,3.0909,2.9455,2.3455,3.1273,55
19,standard Rattata,rattata,1.6000,3.1273,1.2182,1.3091,1.2000,3.1273,2.6545,2.5818,3.4000,55
20,Alolan Raticate,raticate-alola,2.4000,2.5091,1.4364,1.8364,1.6727,2.3273,2.6909,1.8909,3.2727,55
20,standard Raticate,raticate,2.0000,3.6000,1.2364,1.3455,1.4545,1.8909,2.4909,1.8909,2.8364,55
21,Spearow,spearow,2.0926,3.8889,1.1481,1.2593,1.1111,2.2963,3.1481,2.4074,3.1111,54
22,Fearow,fearow,2.3889,3.6296,1.2222,1.4630,1.2037,1.6111,3.1111,2.0926,2.9444,54
23,Ekans,ekans,1.5273,3.3818,1.2000,1.4000,1.0727,2.8000,2.9636,2.8909,3.2364,55
24,Arbok,arbok,2.2545,4.0545,1.1818,1.7636,1.2182,2.1818,3.9818,3.1091,3.6364,55
25,Gigantamax Pikachu,pikachu-gmax,1.9818,1.2545,1.9818,3.6727,1.7455,4.2182,3.5455,3.2182,3.7636,55
25,standard Pikachu,pikachu,1.7636,1.8182,1.5818,3.0364,1.7091,4.3455,3.4545,3.4545,3.7818,55
26,Alolan Raichu,raichu-alola,2.5636,1.5636,1.9273,3.8727,2.4545,4.3091,3.6364,3.8364,3.9636,55
26,standard Raichu,raichu,2.1091,1.9455,1.5273,3.3091,2.1818,4.2909,4.0182,3.6182,4.0909,55
27,Alolan Sandshrew,sandshrew-alola,2.4444,2.2963,2.3519,3.1667,1.8704,4.2222,3.4815,3.5556,4.0556,54
27,standard Sandshrew,sandshrew,1.8909,3.0000,1.4000,1.9455,1.6727,4.5636,3.6364,3.4727,4.1818,55
28,Alolan Sandslash,sandslash-alola,3.1455,2.6182,2.2727,3.5091,1.9636,3.4000,4.2909,3.5455,4.0727,55
28,standard Sandslash,sandslash,2.7037,3.6296,1.3333,2.0370,1.8704,3.3519,4.1296,3.1111,4.0185,54
29,Female Nidoran,nidoran-f,1.8000,3.0909,1.3818,2.0909,1.1818,3.8182,3.0182,3.1091,3.7273,55
30,Nidorina,nidorina,2.8364,3.0727,1.4727,2.8909,2.0545,3.3091,3.5455,3.1091,3.6909,55
31,Nidoqueen,nidoqueen,3.0364,2.5273,1.6909,3.3636,3.0000,2.6727,3.6000,2.9455,3.6182,55
32,Male Nidoran,nidoran-m,2.4000,2.6909,1.3091,2.7455,1.1091,3.8727,3.7818,2.9818,4.0182,55
33,Nidorino,nidorino,2.9091,3.6182,1.5455,2.8727,1.2364,2.2000,3.8727,2.5091,3.7273,55
34,Nidoking,nidoking,3.6364,2.8000,1.9636,3.7818,3.0545,1.6727,4.4000,2.6727,3.8909,55
35,Clefairy,clefairy,1.5818,1.6000,1.9273,3.8909,2.6182,4.2000,2.5273,3.7273,3.8545,55
36,Clefable,clefable,1.8364,1.6545,2.0000,4.0364,2.9636,3.9636,2.6545,3.5091,3.4727,55
37,Alolan Vulpix,vulpix-alola,1.8000,2.5273,1.3636,3.4545,1.1818,4.8000,3.4545,4.6545,4.4545,55
37,standard Vulpix,vulpix,2.0909,3.4364,1.2727,3.0000,1.1273,4.5818,3.3091,4.3091,4.2727,55
38,Alolan Ninetales,ninetales-alola,3.0727,3.0364,1.4545,4.1636,1.1091,4.1818,4.1818,4.7818,4.4364,55
38,standard Ninetales,ninetales,2.4545,3.8364,1.1818,3.4909,1.2182,3.8909,4.2000,4.6545,4.2182,55
39,Jigglypuff,jigglypuff,1.2545,1.3273,2.4000,3.4364,2.0909,4.2364,2.4182,3.7818,3.4909,55
40,Wigglytuff,wigglytuff,1.4545,1.4545,1.8000,3.4000,2.4182,4.3273,2.6545,3.8364,3.6727,55
41,Zubat,zubat,1.4364,2.2727,1.1636,2.0545,1.0909,2.8364,2.8000,2.3636,3.4000,55
42,Golbat,golbat,1.8000,1.4545,1.3818,2.7091,1.2364,1.8545,2.8000,1.8364,3.2000,55
43,Oddish,oddish,1.2000,1.6000,1.3818,2.6182,1.7091,4.4000,2.4545,3.3636,3.7818,55
44,Gloom,gloom,2.0000,1.8364,1.4364,3.1636,2.8000,2.7091,2.2364,1.9273,3.1818,55
45,Vileplume,vileplume,1.9630,2.3148,1.3333,3.2963,2.5185,3.8333,3.3333,3.4444,3.8333,54
46,Paras,paras,2.3091,2.8364,1.2545,2.4364,1.1636,3.2909,2.6000,2.1455,3.3273,55
47,Parasect,parasect,2.0000,2.7636,1.3455,2.4909,1.1455,2.3273,2.9636,2.4000,3.4182,55
48,Venonat,venonat,1.8909,2.1273,1.2545,2.6000,1.6000,3.7273,2.8545,2.7455,3.6182,55
49,Venomoth,venomoth,2.6909,3.4545,1.3636,1.8000,1.1091,2.7455,2.9636,2.7636,3.6364,55
50,Alolan Diglett,diglett-alola,1.2000,1.3455,1.7818,2.5455,1.2909,3.4364,2.1091,2.5273,3.1636,55
50,standard Diglett,diglett,1.1455,1.2727,1.8545,2.0909,1.3455,3.7636,2.2909,2.6000,3.3273,55
51,Alolan Dugtrio,dugtrio-alola,1.8333,1.3333,2.3889,3.1111,2.1111,2.7222,2.2407,2.5556,2.7778,54
51,standard Dugtrio,dugtrio,1.2000,1.3818,1.9455,2.5636,1.3091,3.0909,2.6727,2.6364,3.2727,55
52,Alolan Meowth,meowth-alola,1.7273,1.5818,1.7455,2.2182,3.1455,3.4727,3.0727,3.1273,3.1818,55
52,Galarian Meowth,meowth-galar,2.8000,1.6727,1.9636,2.8727,2.8182,3.0182,3.1818,2.2000,3.4000,55
52,Gigantamax Meowth,meowth-gmax,2.1818,1.4545,1.9273,3.7091,2.5636,3.2545,3.1818,2.8364,3.4545,55
52,standard Meowth,meowth,1.9636,1.9455,1.8364,2.2182,2.8000,3.9273,3.2545,3.1818,3.7636,55
53,Alolan Persian,persian-alola,1.8545,1.7273,1.5273,1.9636,1.3455,2.3455,2.2000,1.8727,2.4545,55
53,standard Persian,persian,1.5091,3.8364,1.4000,1.5273,1.2909,3.0727,3.4545,3.5636,3.5818,55
54,Psyduck,psyduck,1.2593,1.9815,1.2037,1.9815,2.3704,4.1852,2.8148,2.8333,4.0370,54
