"","DexNum","PokemonName","PokeApiName","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","RatingCount","Generation","Region","Order","PopularitySD","MeanDesignSD","Type1","Type2","TypeID1","TypeID2","GimmickFactor"
"1",1,"Bulbasaur","bulbasaur",2.25,2.0878,1.5338,3.5811,1.2973,4.5676,3.8311,3.7095,4.473,148,"1","Kanto",1,0.78366727931881,0.88839312334615,"Grass","Poison",12,4,0
"2",2,"Ivysaur","ivysaur",2.9797,2.7838,1.4932,3.6351,1.2568,3.6486,4.0676,3.4257,4.2838,148,"1","Kanto",1,0.854562797500669,0.89264990081299,"Grass","Poison",12,4,0
"3",3,"Gigantamax Venusaur","venusaur-gmax",4.1622,2.2703,1.5541,4.3649,1.1824,1.9932,3.9392,2.5338,3.5946,148,"8","Kanto",1,1.21831650481996,0.981115172837142,"Grass","Poison",12,4,1
"4",3,"Mega Venusaur","venusaur-mega",4.3716,2.8378,1.5743,4.2027,1.1216,2.527,4.1486,3.2162,4.0608,148,"6","Kanto",1,1.01836530203058,0.904540050115602,"Grass","Poison",12,4,1
"5",3,"standard Venusaur","venusaur",3.6803,3.3061,1.415,3.7755,1.1769,2.3741,4.0952,2.4966,4.1905,147,"1","Kanto",1,0.920908552657796,0.928422738230585,"Grass","Poison",12,4,0
"6",4,"Charmander","charmander",1.6622,2.1486,1.6351,3.3716,2.4527,4.2432,3.7365,3.527,3.973,148,"1","Kanto",1,1.01306296291845,0.966969327668491,"Fire","No 2nd Type",10,19,0
"7",5,"Charmeleon","charmeleon",1.9459,2.6892,1.8108,3.527,2.8176,2.6824,3.8919,2.9662,3.5203,148,"1","Kanto",1,1.09340525976836,0.948691401101867,"Fire","No 2nd Type",10,19,0
"8",6,"Gigantamax Charizard","charizard-gmax",4.1284,2.6081,2.1284,4.6014,2.0608,1.6554,4.1757,3.0676,3.3311,148,"8","Kanto",1,1.27548884912283,0.956970173214053,"Fire","Flying",10,3,1
"9",6,"Mega Charizard X","charizard-mega-x",3.7973,2.6757,2.1554,4.6824,2.3514,2.0405,4.6014,3.6622,4.0405,148,"6","Kanto",1,1.09592844988867,0.955795465986631,"Fire","Dragon",10,16,1
"10",6,"Mega Charizard Y","charizard-mega-y",3.6149,2.9527,1.9662,4.4865,2.2297,2.2703,4.4797,3.5878,4.0203,148,"6","Kanto",1,1.0620581408386,0.935495769365815,"Fire","Flying",10,3,1
"11",6,"standard Charizard","charizard",2.4797,2.6689,1.7432,4.2905,2.1959,2.4189,4.2568,3.3243,3.8784,148,"1","Kanto",1,1.13627844139388,1.00126894942761,"Fire","Flying",10,3,0
"12",7,"Squirtle","squirtle",1.7027,2.527,1.3649,2.2568,2.1892,4.5135,3.7365,3.7162,4.1959,148,"1","Kanto",1,0.934755234502333,0.912568072200591,"Water","No 2nd Type",11,19,0
"13",8,"Wartortle","wartortle",2.4527,2.3716,1.6689,3.2297,2.5203,3.5811,4,3.4662,4.0405,148,"1","Kanto",1,1.05891078672222,0.957914906851542,"Water","No 2nd Type",11,19,0
"14",9,"Gigantamax Blastoise","blastoise-gmax",4.3851,2.5608,3.6622,4.2568,2.4054,1.8581,4.3243,3.1014,3.7297,148,"8","Kanto",1,1.1534173591654,0.914309542025325,"Water","No 2nd Type",11,19,1
"15",9,"Mega Blastoise","blastoise-mega",3.7635,2.0878,3.4189,3.9054,2.4865,2.0743,4.1554,2.75,3.5878,148,"6","Kanto",1,1.15623488480437,0.951382897373732,"Water","No 2nd Type",11,19,1
"16",9,"standard Blastoise","blastoise",2.7838,2.7838,2.6486,3.2703,2.6622,2.5608,4.2365,3.0608,4.0135,148,"1","Kanto",1,0.944303593578046,0.962079924936639,"Water","No 2nd Type",11,19,0
"17",10,"Caterpie","caterpie",1.9257,3.4662,1.1824,1.4324,1.0946,3.9932,2.4527,3.1014,3.7905,148,"1","Kanto",1,1.00171055307421,0.895465671037394,"Bug","No 2nd Type",7,19,0
"18",11,"Metapod","metapod",1.6735,2.9864,1.3061,1.517,1.1224,2.4694,2.3061,2.2381,3.381,147,"1","Kanto",1,1.07749604752236,0.924048128138454,"Bug","No 2nd Type",7,19,0
"19",12,"Gigantamax Butterfree","butterfree-gmax",3.3581,2.3649,1.5676,3.7905,1.277,3.9392,3.6757,4.3041,3.9054,148,"8","Kanto",1,0.954225618780897,0.947236027752892,"Bug","Flying",7,3,1
"20",12,"standard Butterfree","butterfree",2.0473,2.75,1.2703,1.9459,1.6149,4.1149,2.9392,3.7973,3.8581,148,"1","Kanto",1,0.944472791126087,0.93623037275497,"Bug","Flying",7,3,0
"21",13,"Weedle","weedle",1.4797,2.3784,1.2838,1.6081,1.1216,3.6149,2.3581,2.6959,3.3581,148,"1","Kanto",1,0.927368336759291,0.860894184856997,"Bug","Poison",7,4,0
"22",14,"Kakuna","kakuna",2.0676,3.4797,1.4527,1.6284,1.2027,2.1824,2.5473,2.5135,3.0743,148,"1","Kanto",1,0.980149024908942,0.927108878238314,"Bug","Poison",7,4,0
"23",15,"Mega Beedrill","beedrill-mega",4.0541,2.8784,2.777,3.6892,1.4324,1.9122,4.527,3.1757,4.0878,148,"6","Kanto",1,1.04929629848483,0.950978042731378,"Bug","Poison",7,4,1
"24",15,"standard Beedrill","beedrill",2.6689,2.9865,1.6622,2.5203,2.3108,2.1486,3.9324,2.9324,3.6014,148,"1","Kanto",1,1.06377619613862,1.0559386525615,"Bug","Poison",7,4,0
"25",16,"Pidgey","pidgey",1.6959,4.0743,1.1892,1.2162,1.1959,3.2703,2.7635,3.0743,3.3041,148,"1","Kanto",1,0.94481934995737,0.846768808715596,"Normal","Flying",1,3,0
"26",17,"Pidgeotto","pidgeotto",2.2095,3.7568,1.2297,1.5068,1.2027,2.75,3.5946,3.4122,3.5135,148,"1","Kanto",1,1.05578513430403,0.862379271592992,"Normal","Flying",1,3,0
"27",18,"Mega Pidgeot","pidgeot-mega",3.5034,3.3129,1.5782,2.9116,1.2109,2.6939,4.3197,3.8776,4,147,"6","Kanto",1,1.07538950387012,0.998180846798306,"Normal","Flying",1,3,1
"28",18,"standard Pidgeot","pidgeot",2.1351,4.0743,1.1892,1.6014,1.1622,2.7027,3.9459,3.6216,3.6959,148,"1","Kanto",1,1.02442326413704,0.816334033879007,"Normal","Flying",1,3,0
"29",19,"Alolan Rattata","rattata-alola",1.8311,2.6689,1.3378,1.7162,1.2095,2.8311,2.6959,2.2905,2.9122,148,"7","Alola",7,1.17363522841601,0.892065674003983,"Dark","Normal",17,1,0
"30",19,"standard Rattata","rattata",1.4662,3.2162,1.2162,1.2297,1.2162,3.0676,2.6824,2.6284,3.3446,148,"1","Kanto",1,1.10106114564872,0.889779238914641,"Normal","No 2nd Type",1,19,0
"31",20,"Alolan Raticate","raticate-alola",2.2973,2.5676,1.4662,1.7973,1.527,2.027,2.3851,1.7703,2.7838,148,"7","Alola",7,1.2166665832808,0.955297629802941,"Dark","Normal",17,1,0
"32",20,"standard Raticate","raticate",1.7635,3.4932,1.25,1.3243,1.4932,1.8716,2.4662,1.8243,2.7905,148,"1","Kanto",1,1.14049170511562,0.925165887809049,"Normal","No 2nd Type",1,19,0
"33",21,"Spearow","spearow",2.0405,3.8851,1.2162,1.2095,1.1149,2.4257,3.0203,2.5473,3.0338,148,"1","Kanto",1,1.06187839613056,0.801031445817951,"Normal","Flying",1,3,0
"34",22,"Fearow","fearow",2.3851,3.777,1.25,1.4865,1.2297,1.5811,3.0203,2.0203,2.8581,148,"1","Kanto",1,1.16253529522203,0.855451026422084,"Normal","Flying",1,3,0
"35",23,"Ekans","ekans",1.473,3.5135,1.2027,1.3851,1.1014,2.7838,2.9797,2.7905,3.3446,148,"1","Kanto",1,0.991264806561566,0.821551930682713,"Poison","No 2nd Type",4,19,0
"36",24,"Arbok","arbok",2.2365,3.8986,1.2095,1.7635,1.1486,2.1486,3.973,3.0473,3.7973,148,"1","Kanto",1,1.02640450550045,0.847394430033368,"Poison","No 2nd Type",4,19,0
"37",25,"Gigantamax Pikachu","pikachu-gmax",1.9459,1.3851,2.1959,3.7432,1.7027,4.1351,3.3378,3.3176,3.5946,148,"8","Kanto",1,1.24573780286395,1.04187160807746,"Electric","No 2nd Type",13,19,1
"38",25,"standard Pikachu","pikachu",1.7959,1.898,1.7483,2.9864,1.7755,4.3878,3.5714,3.6667,3.7891,147,"1","Kanto",1,1.25752857998659,1.07256142554099,"Electric","No 2nd Type",13,19,0
"39",26,"Alolan Raichu","raichu-alola",2.415,1.5918,2.068,3.9116,2.4558,4.4422,3.7075,3.8844,4.0068,147,"7","Alola",7,1.10961535677576,0.9474060155182,"Electric","Psychic",13,14,0
"40",26,"standard Raichu","raichu",2.2568,1.9865,1.8108,3.3176,2.1757,4.2568,4.0068,3.7027,4.0676,148,"1","Kanto",1,0.927523308967417,0.888117362901329,"Electric","No 2nd Type",13,19,0
"41",27,"Alolan Sandshrew","sandshrew-alola",2.3378,2.2365,2.3649,3.0946,1.6824,4.4122,3.5676,3.723,4.0878,148,"7","Alola",7,0.943892558977251,0.972323110101464,"Ice","Steel",15,9,0
"42",27,"standard Sandshrew","sandshrew",1.8649,3.0135,1.4257,1.8581,1.7095,4.5405,3.6284,3.6081,4.1284,148,"1","Kanto",1,0.887453123279755,0.86712147710657,"Ground","No 2nd Type",5,19,0
"43",28,"Alolan Sandslash","sandslash-alola",3.1959,2.5811,2.3986,3.6216,2.0878,3.4189,4.2432,3.6486,4.0743,148,"7","Alola",7,0.923354754643003,0.913781515308924,"Ice","Steel",15,9,0
"44",28,"standard Sandslash","sandslash",2.6014,3.3514,1.4392,2.2635,1.8446,3.4527,4.1351,3.2703,4.0811,148,"1","Kanto",1,0.873560509795484,0.874291845161357,"Ground","No 2nd Type",5,19,0
"45",29,"Female Nidoran","nidoran-f",1.8986,3.0405,1.4459,2.0608,1.1554,3.7838,2.9189,3.1149,3.5676,148,"1","Kanto",1,1.06645511659183,0.866167531670361,"Poison","No 2nd Type",4,19,0
"46",30,"Nidorina","nidorina",2.7162,2.9392,1.5676,2.7838,1.8851,3.3716,3.5473,3.1892,3.7365,148,"1","Kanto",1,0.968151529954129,0.92365505870683,"Poison","No 2nd Type",4,19,0
"47",31,"Nidoqueen","nidoqueen",2.9257,2.5811,1.8311,3.2905,3.1014,2.8378,3.6081,3.1486,3.6419,148,"1","Kanto",1,1.03981635030744,0.991745047654582,"Poison","Ground",4,5,0
"48",32,"Male Nidoran","nidoran-m",2.3851,2.777,1.5608,2.7027,1.2297,3.8514,3.7297,3.25,3.973,148,"1","Kanto",1,0.837837837837838,0.88734182338542,"Poison","No 2nd Type",4,19,0
"49",33,"Nidorino","nidorino",2.8784,3.4122,1.6351,2.9865,1.2568,2.2703,3.7905,2.5811,3.6081,148,"1","Kanto",1,1.05404865024471,0.874210788020511,"Poison","No 2nd Type",4,19,0
"50",34,"Nidoking","nidoking",3.7279,2.9184,2.0476,3.7687,3.2109,1.9864,4.3878,2.7959,4.0068,147,"1","Kanto",1,0.972384674024797,0.947170204459218,"Poison","Ground",4,5,0
