"","DexNum","PokemonName","PokeApiName","Complexity","Realism","Artificiality","Fantasy","Humanoid","Cuteness","Coolness","Beauty","Popularity","RatingCount","Generation","Region","Order","PopularitySD","MeanDesignSD","Type1","Type2"
"1",1,"Bulbasaur","bulbasaur",2.1404,2.0526,1.3509,3.5965,1.1404,4.4737,3.7368,3.4386,4.3684,57,"1","Kanto",1,0.850831975647869,0.780071770537777,"grass","poison"
"2",2,"Ivysaur","ivysaur",2.9825,2.7895,1.4737,3.5789,1.1579,3.5614,4.0175,3.3333,4.2281,57,"1","Kanto",1,0.898684103499347,0.871366291541175,"grass","poison"
"3",3,"Gigantamax Venusaur","venusaur-gmax",4.2414,2.2759,1.6207,4.3966,1.1724,1.8276,3.931,2.1207,3.6724,58,"8","Kanto",1,1.12015902557109,0.939024567895437,"grass","poison"
"4",3,"Mega Venusaur","venusaur-mega",4.4483,2.8276,1.5172,4.3448,1.0862,2.3448,4.1724,3.0172,4.0517,58,"6","Kanto",1,0.93628786085417,0.834202827702567,"grass","poison"
"5",3,"standard Venusaur","venusaur",3.6207,3.569,1.4655,3.8276,1.1379,2.3793,4.1207,2.3276,4.3621,58,"1","Kanto",1,0.781207638566151,0.912301815074744,"grass","poison"
"6",4,"Charmander","charmander",1.7931,2.3793,1.431,3.5172,2.3793,4.2586,3.6897,3.4828,3.8793,58,"1","Kanto",1,1.09980540922876,0.956533547512153,"fire","No 2nd Type"
"7",5,"Charmeleon","charmeleon",1.9298,2.8246,1.6491,3.614,2.7544,2.5614,4,2.9298,3.7018,57,"1","Kanto",1,1.00812336130236,0.941579131258449,"fire","No 2nd Type"
"8",6,"Gigantamax Charizard","charizard-gmax",4.2456,2.7193,1.9298,4.6667,1.9298,1.4737,4.1053,2.807,3.1053,57,"8","Kanto",1,1.24474889649591,1.05464601845533,"fire","flying"
"9",6,"Mega Charizard X","charizard-mega-x",3.8793,2.7241,1.9655,4.7069,2.4138,2.0345,4.431,3.3448,3.9138,58,"6","Kanto",1,1.20751215826849,0.99861234333843,"fire","dragon"
"10",6,"Mega Charizard Y","charizard-mega-y",3.6842,2.807,1.7368,4.4386,2.1754,2.2105,4.3684,3.4912,3.7368,57,"6","Kanto",1,1.23581517651623,0.905291943413421,"fire","flying"
